nombre,empresa calificacion y ciudad,descripcion,modalidad,tiempo
Gestor de reportes,"COMPLEMENTOS HUMANOS 4,3 Antioquia, Medellín",Importante empresa de servicios corporativos se encuentra contratando profesional en Ingeniería en sistemas de...,Hace 13 horas
Desarrollador backend Python angular,"Adecco Colombia S.A. 4,3 Bogotá, D.C., Bogotá, D.C.","Importante empresa requiere para su equipo de trabajo Profesional en sistemas o afines, Experiencia laboral mínima de...",Hace 15 horas
Semi Senior Python Backend Developer / R + D,"BairesDev 4,5 Bogotá, D.C., Bogotá, D.C.",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Semi Senior Python Backend Developer / R + D,"BairesDev 4,5 Valle del Cauca, Cali",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Semi Senior Python Backend Developer / R + D,"BairesDev 4,5 Atlántico, Barranquilla",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Semi Senior Python Backend Developer / R + D,"BairesDev 4,5 Antioquia, Medellín",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Bogotá, D.C., Bogotá, D.C.",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Antioquia, Medellín",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Santander, Bucaramanga",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Valle del Cauca, Cali",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Atlántico, Barranquilla",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Boyacá, Tunja",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Bolívar, Cartagena de Indias",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Atlántico, Soledad",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Tolima, Ibagué",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Norte de Santander, Cúcuta",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
Python Architect / Research + Development,"BairesDev 4,5 Meta, Villavicencio",Who we are BairesDev is proud to be the fastest-growing company in America. With people on five continents and...,Remoto,Ayer
